Name,Lat,Lon,Mesh-x,Mesh-y,Days,Year,Q1-amp,Q1-phase,O1-amp,O1-phase,P1-amp,P1-phase,S1-amp,S1-phase,K1-amp,K1-phase,2N2-amp,2N2-phase,MU2-amp,MU2-phase,N2-amp,N2-phase,NU2-amp,NU2-phase,M2-amp,M2-phase,L2-amp,L2-phase,T2-amp,T2-phase,S2-amp,S2-phase,K2-amp,K2-phase,M4-amp,M4-phase
ABERDEEN,57.144,-2.080,555663.068,6333797.559,0,0,0.043,10.114,0.128,63.916,0.033,193.013,0.010,123.050,0.113,194.345,0.035,335.556,0.021,310.083,0.257,358.842,0.052,4.481,1.292,22.348,0.043,44.037,0.020,54.264,0.440,62.764,0.127,40.592,0.032,161.445
AVONMOUTH,51.511,-2.715,519779.980,5706678.791,0,0,0.022,327.892,0.072,14.064,0.025,123.367,0.018,56.040,0.066,132.161,0.098,171.468,0.506,253.412,0.768,183.067,0.195,146.211,4.290,197.238,0.298,181.309,0.096,252.686,1.525,258.740,0.425,235.862,0.260,342.628
BANGOR,54.665,-5.669,327837.681,6060758.947,0,0,0.034,352.811,0.100,52.339,0.036,181.562,0.012,88.837,0.108,176.269,0.028,259.878,0.044,116.196,0.222,288.029,0.058,294.480,1.166,315.148,0.071,345.816,0.017,356.992,0.295,359.786,0.084,338.555,0.013,87.812
BARMOUTH,52.719,-4.045,429404.849,5841531.361,0,0,0.020,336.868,0.070,34.021,0.032,164.285,0.014,79.259,0.076,158.206,0.037,194.852,0.044,200.706,0.293,216.474,0.046,215.713,1.475,236.511,0.050,243.049,0.032,265.547,0.542,276.585,0.126,258.923,0.266,60.160
BOURNEMOUTH,50.714,-1.875,579433.432,5618661.789,0,0,0.009,330.735,0.043,2.616,0.032,104.327,0.006,45.104,0.093,100.842,0.018,223.326,0.071,188.874,0.105,245.726,0.013,279.772,0.406,271.014,0.017,58.484,0.009,292.252,0.183,292.388,0.053,269.401,0.185,14.888
CROMER,52.934,1.302,789048.022,5873633.853,0,0,0.050,88.623,0.157,145.506,0.049,289.293,0.011,229.402,0.145,291.790,0.039,137.904,0.018,200.873,0.302,162.349,0.061,163.693,1.561,185.993,0.064,197.218,0.026,221.214,0.531,234.280,0.150,213.184,0.086,276.101
DEVONPORT,50.368,-4.185,415708.553,5580262.801,0,0,0.015,312.170,0.055,359.833,0.027,103.637,0.006,32.031,0.075,101.893,0.039,119.526,0.124,189.457,0.318,135.222,0.067,116.554,1.685,151.172,0.094,134.520,0.033,196.184,0.608,206.251,0.168,183.652,0.137,129.717
DOVER,51.114,1.323,802512.820,5671435.916,0,0,0.021,125.785,0.057,190.492,0.020,21.933,0.006,285.767,0.051,32.346,0.048,281.273,0.089,47.655,0.410,307.433,0.099,298.892,2.239,329.516,0.128,335.595,0.040,9.941,0.712,23.364,0.214,3.208,0.256,216.300
FELIXSTONE,51.957,1.348,798737.985,5765163.169,0,0,0.047,124.734,0.141,183.759,0.042,336.511,0.008,289.098,0.115,341.287,0.023,265.706,0.073,76.532,0.213,293.674,0.064,292.167,1.241,319.381,0.082,338.747,0.015,354.635,0.353,13.128,0.117,355.872,0.072,317.803
FISHGUARD,52.014,-4.983,363891.693,5764427.888,0,0,0.025,330.053,0.078,23.671,0.027,148.725,0.008,78.450,0.079,142.191,0.038,168.527,0.072,186.134,0.276,186.043,0.048,181.196,1.337,204.818,0.035,189.338,0.029,239.307,0.526,247.902,0.150,225.609,0.114,15.280
HARWICH,51.948,1.292,794930.185,5763958.435,0,0,0.036,131.288,0.114,188.225,0.041,336.481,0.008,302.593,0.101,344.577,0.027,274.714,0.079,76.333,0.230,297.257,0.071,294.545,1.345,322.631,0.092,340.808,0.014,5.893,0.363,17.615,0.088,358.607,0.088,322.924
HEYSHAM,54.032,-2.920,505212.472,5987048.220,0,0,0.038,356.586,0.114,54.034,0.045,184.104,0.016,98.913,0.127,181.786,0.081,274.170,0.023,58.132,0.603,299.643,0.137,299.787,3.165,323.302,0.138,341.833,0.057,3.641,1.033,8.510,0.297,348.195,0.202,238.583
HINKLEY_POINT,51.215,-3.134,490617.800,5673770.518,0,0,0.017,308.176,0.056,354.147,0.026,123.667,0.016,73.428,0.060,135.007,0.111,146.397,0.353,234.374,0.747,167.996,0.173,142.131,4.112,182.845,0.264,170.102,0.076,229.425,1.399,237.122,0.284,236.721,0.118,17.944
HOLYHEAD,53.314,-4.620,392046.235,5908419.024,0,0,0.033,347.081,0.100,41.795,0.037,171.757,0.012,89.686,0.108,166.721,0.049,240.232,0.033,178.500,0.359,264.839,0.077,271.118,1.804,289.754,0.068,320.114,0.032,323.097,0.593,328.510,0.166,308.128,0.033,22.474
ILFRACOMBE,51.211,-4.111,422400.877,5673872.399,0,0,0.021,310.472,0.066,3.076,0.023,118.612,0.009,63.219,0.065,113.932,0.075,121.209,0.141,194.982,0.573,141.365,0.122,128.756,3.024,159.360,0.141,153.727,0.060,201.329,1.104,208.791,0.316,184.913,0.105,345.094
IMMINGHAM,53.631,-0.186,686059.529,5946151.423,0,0,0.057,72.402,0.173,126.514,0.050,269.317,0.011,195.478,0.154,271.703,0.055,117.231,0.084,220.727,0.415,138.024,0.097,131.861,2.223,159.176,0.116,161.471,0.036,192.376,0.737,211.695,0.220,190.803,0.017,190.017
KINLOCHBERVIE,58.457,-5.050,380363.031,6481372.444,0,0,0.026,306.005,0.076,353.956,0.036,112.835,0.011,31.714,0.114,115.278,0.041,162.847,0.055,146.590,0.294,183.279,0.054,189.127,1.450,205.576,0.033,235.577,0.029,233.044,0.547,241.884,0.141,219.046,0.044,242.122
LEITH,55.990,-3.182,488665.423,6204962.592,0,0,0.043,181.512,0.136,226.826,0.037,338.166,0.012,256.762,0.117,340.411,0.047,298.684,0.020,291.884,0.354,316.041,0.073,319.656,1.805,330.938,0.064,341.880,0.028,353.705,0.614,358.236,0.164,333.199,0.077,12.596
LERWICK,60.154,-1.140,603237.490,6670018.762,0,0,0.026,353.700,0.073,45.479,0.022,149.058,0.006,74.051,0.072,154.686,0.018,270.406,0.024,269.961,0.122,289.414,0.022,292.757,0.587,309.513,0.016,315.343,0.011,339.101,0.209,347.126,0.054,322.764,0.016,270.571
